羅生門	Rashomon	rashomon_jp-rashomon_en
芥川龍之介	Akutagawa Ryunosuke	rashomon_jp-rashomon_en
ある日の暮方の事である。	It happened one evening.	rashomon_jp-rashomon_en
一人の下人が、羅生門の下で雨やみを待っていた。	A lowly servant was under Rashōmon Gate, waiting for the rain to stop.	rashomon_jp-rashomon_en
広い門の下には、この男のほかに誰もいない。	Under the broad gate, there was no one but him.	rashomon_jp-rashomon_en
ただ、所々丹塗の剥げた、大きな円柱に、蟋蟀が一匹とまっている。	On one of the large round pillars whose red paint was peeling off in places, there was only a solitary katydid.	rashomon_jp-rashomon_en
羅生門が、朱雀大路にある以上は、この男のほかにも、雨やみをする市女笠や揉烏帽子が、もう二三人はありそうなものである。	Because the gate was located on Suzaku Boulevard, you would normally expect to find two or three other people there, waiting for the rain to let up.	rashomon_jp-rashomon_en
それが、この男のほかには誰もいない。	But there was nobody there but him.	rashomon_jp-rashomon_en
何故かと云うと、この二三年、京都には、地震とか辻風とか火事とか饑饉とか云う災がつづいて起った。	You see, over the last two or three years there had been a series of disasters in Kyoto: earthquakes, whirlwinds, fires, and famines.	rashomon_jp-rashomon_en
そこで洛中のさびれ方は一通りではない。	The capital was falling apart in many different ways.	rashomon_jp-rashomon_en
旧記によると、仏像や仏具を打砕いて、その丹がついたり、金銀の箔がついたりした木を、路ばたにつみ重ねて、薪の料に売っていたと云う事である。	According to old records, Buddhist statues and altars had been smashed, and their vermilion-lacquered and gold- or silver-foiled wood piled up on the side of the road and sold as kindling.	rashomon_jp-rashomon_en
洛中がその始末であるから、羅生門の修理などは、元より誰も捨てて顧る者がなかった。	Needless to say, with the capital in this condition, there was no one to repair the gate, and indeed, nobody even gave it a second thought.	rashomon_jp-rashomon_en
するとその荒れ果てたのをよい事にして、狐狸が棲む。	Taking advantage of this state of neglect, foxes and badgers began to live there.	rashomon_jp-rashomon_en
盗人が棲む。	Robbers lived there.	rashomon_jp-rashomon_en
とうとうしまいには、引取り手のない死人を、この門へ持って来て、棄てて行くと云う習慣さえ出来た。	Eventually, it had even become customary to take unclaimed corpses to the gate and dump them there.	rashomon_jp-rashomon_en
そこで、日の目が見えなくなると、誰でも気味を悪るがって、この門の近所へは足ぶみをしない事になってしまったのである。	So after sunset, people got scared, and nobody dared set foot near the gate after dark.	rashomon_jp-rashomon_en
その代りまた鴉がどこからか、たくさん集って来た。	In their place, a large murder of crows had flocked there.	rashomon_jp-rashomon_en
昼間見ると、その鴉が何羽となく輪を描いて、高い鴟尾のまわりを啼きながら、飛びまわっている。	During the day, countless birds could be seen flying around in circles while cawing at the high ornamental ridge-end tiles.	rashomon_jp-rashomon_en
ことに門の上の空が、夕焼けであかくなる時には、それが胡麻をまいたようにはっきり見えた。	They looked just like scattered sesame seeds, particularly when the sky above the gate turned red at sunset.	rashomon_jp-rashomon_en
鴉は、勿論、門の上にある死人の肉を、啄みに来るのである。	The crows, of course, had come to peck at the flesh of the dead bodies on top of the gate.	rashomon_jp-rashomon_en
――もっとも今日は、刻限が遅いせいか、一羽も見えない。	Today, however, perhaps because it was late, not a single bird could be seen.	rashomon_jp-rashomon_en
ただ、所々、崩れかかった、そうしてその崩れ目に長い草のはえた石段の上に、鴉の糞が、点々と白くこびりついているのが見える。	But what you could see were their white droppings, stuck in patches to the stone steps, which were crumbling in places, with long weeds growing from the cracks.	rashomon_jp-rashomon_en
下人は七段ある石段の一番上の段に、洗いざらした紺の襖の尻を据えて、右の頬に出来た、大きな面皰を気にしながら、ぼんやり、雨のふるのを眺めていた。	The servant, wearing a navy-blue kimono that had faded from over-washing, sat down on the seventh-and-top step of the stone staircase.	rashomon_jp-rashomon_en
作者はさっき、「下人が雨やみを待っていた」と書いた。	He watched the rain fall while playing with a large pimple on his right cheek, lost in his own thoughts.	rashomon_jp-rashomon_en
しかし、下人は雨がやんでも、格別どうしようと云う当てはない。	A little while ago, I wrote, "A lowly servant was waiting for the rain to stop".	rashomon_jp-rashomon_en
ふだんなら、勿論、主人の家へ帰る可き筈である。	However, even if the rain did stop, the servant still wouldn't have anything to do.	rashomon_jp-rashomon_en
所がその主人からは、四五日前に暇を出された。	Normally, of course, he would have been expected to return to his master's house, but he had been released from the service of his master four or five days before.	rashomon_jp-rashomon_en
前にも書いたように、当時京都の町は一通りならず衰微していた。	As I wrote earlier, at this time, the city of Kyoto was deteriorating in many different ways.	rashomon_jp-rashomon_en
今この下人が、永年、使われていた主人から、暇を出されたのも、実はこの衰微の小さな余波にほかならない。	That this servant had been dismissed by his master, who had employed him for so many years, was merely another small side effect of this decline.	rashomon_jp-rashomon_en
だから「下人が雨やみを待っていた」と云うよりも「雨にふりこめられた下人が、行き所がなくて、途方にくれていた」と云う方が、適当である。	So, rather than saying, "A lowly servant was waiting for the rain to stop", it would have been more appropriate to say, "A lowly servant, trapped by the rain, had nowhere to go, and didn't know what to do".	rashomon_jp-rashomon_en
その上、今日の空模様も少からず、この平安朝の下人の Sentimentalisme に影響した。	The weather that day further served to darken the mood of this Heian-period servant.	rashomon_jp-rashomon_en
申の刻下りからふり出した雨は、いまだに上るけしきがない。	The rain had started falling at a little after 4 PM, and it still showed no signs of letting up.	rashomon_jp-rashomon_en
そこで、下人は、何をおいても差当り明日の暮しをどうにかしようとして――云わばどうにもならない事を、どうにかしようとして、とりとめもない考えをたどりながら、さっきから朱雀大路にふる雨の音を、聞くともなく聞いていたのである。	For now, foremost on the servant's mind was how he would make his living tomorrow—how he would get through this "hopeless situation". As he tried to piece together his wandering thoughts, he listened pensively to the sound of the rain falling on Suzaku Boulevard.	rashomon_jp-rashomon_en
雨は、羅生門をつつんで、遠くから、ざあっと云う音をあつめて来る。	The rain engulfed Rashōmon, and gales of rain from far away pounded down upon the gate with a tremendous noise.	rashomon_jp-rashomon_en
夕闇は次第に空を低くして、見上げると、門の屋根が、斜につき出した甍の先に、重たくうす暗い雲を支えている。	The darkness of night gradually set in from above, and if you were to look up, it might seem as if the large, gloomy clouds were suspended from the ends of the tiles that jutted out from the roof of the gate.	rashomon_jp-rashomon_en
どうにもならない事を、どうにかするためには、手段を選んでいる遑はない。	In order to somehow get through his "hopeless situation", the servant might have to set his morals aside.	rashomon_jp-rashomon_en
選んでいれば、築土の下か、道ばたの土の上で、饑死をするばかりである。	If he refused to do things that he thought were morally questionable, then he would only end up starving to death under a roofed mud wall or on the side of the road.	rashomon_jp-rashomon_en
そうして、この門の上へ持って来て、犬のように棄てられてしまうばかりである。	And then he would be taken to this gate, to be discarded, like a dog.	rashomon_jp-rashomon_en
選ばないとすれば――下人の考えは、何度も同じ道を低徊した揚句に、やっとこの局所へ逢着した。	 "If I am willing to do whatever it takes to survive…" His thoughts had circled through his head a number of times, and they had finally arrived here.	rashomon_jp-rashomon_en
しかしこの「すれば」は、いつまでたっても、結局「すれば」であった。	But this "if" would always remain a mere hypothetical.	rashomon_jp-rashomon_en
下人は、手段を選ばないという事を肯定しながらも、この「すれば」のかたをつけるために、当然、その後に来る可き「盗人になるよりほかに仕方がない」と云う事を、積極的に肯定するだけの、勇気が出ずにいたのである。	For although the servant acknowledged that he had to do whatever he could to get by, he didn't have the courage to bring the sentence to its foregone conclusion: "I am bound to become a thief."	rashomon_jp-rashomon_en
下人は、大きな嚔をして、それから、大儀そうに立上った。	The servant sneezed, and he stood up wearily.	rashomon_jp-rashomon_en
夕冷えのする京都は、もう火桶が欲しいほどの寒さである。	Kyoto—so chilly in the evening—was already cold enough that he wished he had a brazier.	rashomon_jp-rashomon_en
風は門の柱と柱との間を、夕闇と共に遠慮なく、吹きぬける。	The wind and the darkness blew mercilessly between the pillars of the gate.	rashomon_jp-rashomon_en
丹塗の柱にとまっていた蟋蟀も、もうどこかへ行ってしまった。	The katydid that had been sitting on the red pillar was long gone.	rashomon_jp-rashomon_en
下人は、頸をちぢめながら、山吹の汗袗に重ねた、紺の襖の肩を高くして門のまわりを見まわした。	The servant tucked his head into his chest, hunched up his shoulders—clad in the blue kimono he wore over his thin yellow underclothes—and looked around the gate.	rashomon_jp-rashomon_en
雨風の患のない、人目にかかる惧のない、一晩楽にねられそうな所があれば、そこでともかくも、夜を明かそうと思ったからである。	 "If there is a place where I won't be bothered by the wind or the rain… a place where I won't be seen… a place where it looks like I can sleep comfortably all night… then I will spend the night there", he thought.	rashomon_jp-rashomon_en
すると、幸い門の上の楼へ上る、幅の広い、これも丹を塗った梯子が眼についた。	Luckily, just then, he spotted the wide, red staircase that led to the tower atop the gate.	rashomon_jp-rashomon_en
上なら、人がいたにしても、どうせ死人ばかりである。	The only people he might find up there would already be dead!	rashomon_jp-rashomon_en
下人はそこで、腰にさげた聖柄の太刀が鞘走らないように気をつけながら、藁草履をはいた足を、その梯子の一番下の段へふみかけた。	So, the servant, being careful that his simple wooden-hilted sword did not slip out of its sheath, stepped on the bottom stair with his straw sandal.	rashomon_jp-rashomon_en
それから、何分かの後である。	It was a few minutes later.	rashomon_jp-rashomon_en
羅生門の楼の上へ出る、幅の広い梯子の中段に、一人の男が、猫のように身をちぢめて、息を殺しながら、上の容子を窺っていた。	Halfway up the wide staircase leading to the top of the gate's tower, the man held his breath, and, crouching like a cat, he looked up cautiously.	rashomon_jp-rashomon_en
楼の上からさす火の光が、かすかに、その男の右の頬をぬらしている。	The light of a fire shone down softly upon the man's right cheek from the top of the tower.	rashomon_jp-rashomon_en
短い鬚の中に、赤く膿を持った面皰のある頬である。	It was that same cheek, with the red pus-filled pimple among the stubble.	rashomon_jp-rashomon_en
下人は、始めから、この上にいる者は、死人ばかりだと高を括っていた。	The servant had taken for granted that everyone up there would already be dead.	rashomon_jp-rashomon_en
それが、梯子を二三段上って見ると、上では誰か火をとぼして、しかもその火をそこここと動かしているらしい。	But when he climbed up two or three more steps, he saw that not only had someone had lit a fire up there, they seemed to be moving it back and forth...	rashomon_jp-rashomon_en
これは、その濁った、黄いろい光が、隅々に蜘蛛の巣をかけた天井裏に、揺れながら映ったので、すぐにそれと知れたのである。	He could tell this from the way that the muddy, yellow light wavered in the spider webs hanging from every nook and cranny of the ceiling.	rashomon_jp-rashomon_en
この雨の夜に、この羅生門の上で、火をともしているからは、どうせただの者ではない。	A lighted fire… on this rainy night… and on top of this gate… Surely this could be no ordinary human.	rashomon_jp-rashomon_en
下人は、守宮のように足音をぬすんで、やっと急な梯子を、一番上の段まで這うようにして上りつめた。	The servant crept up to the top step of the steep staircase, his feet as silent as a gecko's.	rashomon_jp-rashomon_en
そうして体を出来るだけ、平にしながら、頸を出来るだけ、前へ出して、恐る恐る、楼の内を覗いて見た。	He straightened out his body as much as he could, stuck his neck out as far as possible, and cautiously peered into the tower.	rashomon_jp-rashomon_en
見ると、楼の内には、噂に聞いた通り、幾つかの死骸が、無造作に棄ててあるが、火の光の及ぶ範囲が、思ったより狭いので、数は幾つともわからない。	As the rumours had said, a number of corpses had been discarded in the tower, but the firelight wasn't as bright as he had expected, so he couldn't tell how many.	rashomon_jp-rashomon_en
ただ、おぼろげながら、知れるのは、その中に裸の死骸と、着物を着た死骸とがあるという事である。	Although the light was dim, what he did know was that some of the bodies were wearing kimonos and others were naked.	rashomon_jp-rashomon_en
勿論、中には女も男もまじっているらしい。	Predictably, the corpses' numbers counted both men and woman, mixed together amongst the dead.	rashomon_jp-rashomon_en
そうして、その死骸は皆、それが、かつて、生きていた人間だと云う事実さえ疑われるほど、土を捏ねて造った人形のように、口を開いたり手を延ばしたりして、ごろごろ床の上にころがっていた。	The bodies looked so much like clay dolls, that you might doubt that any of them had ever even been alive. Their mouths open and their arms outstretched, they were strewn haphazardly across the floor.	rashomon_jp-rashomon_en
しかも、肩とか胸とかの高くなっている部分に、ぼんやりした火の光をうけて、低くなっている部分の影を一層暗くしながら、永久に唖の如く黙っていた。	And while the higher parts of their bodies—like their chests and shoulders—caught some of the dim firelight, they cast shadows on the lower parts, and the corpses were as eternally silent as a mute.	rashomon_jp-rashomon_en
下人は、それらの死骸の腐爛した臭気に思わず、鼻を掩った。	The servant instinctively covered his nose from the putrid stench of the rotting bodies.	rashomon_jp-rashomon_en
しかし、その手は、次の瞬間には、もう鼻を掩う事を忘れていた。	But the next instant, his hand fell away from his face. A strong emotion had almost completely robbed him of his sense of smell.	rashomon_jp-rashomon_en
ある強い感情が、ほとんどことごとくこの男の嗅覚を奪ってしまったからだ。	It was at that moment that the servant first caught glimpse of the person squatting among the corpses.	rashomon_jp-rashomon_en
下人の眼は、その時、はじめてその死骸の中に蹲っている人間を見た。	It was an emaciated little old white-haired woman in a dusky-red kimono.	rashomon_jp-rashomon_en
檜皮色の着物を着た、背の低い、痩せた、白髪頭の、猿のような老婆である。	The old woman was carrying a lighted pine torch and staring at one of the corpses' faces.	rashomon_jp-rashomon_en
その老婆は、右の手に火をともした松の木片を持って、その死骸の一つの顔を覗きこむように眺めていた。	Judging from the length of its hair in places, it was probably the body of a woman.	rashomon_jp-rashomon_en
髪の毛の長い所を見ると、多分女の死骸であろう。	For a while, moved by six parts fear and four parts curiosity, the servant forgot even to breathe.	rashomon_jp-rashomon_en
下人は、六分の恐怖と四分の好奇心とに動かされて、暫時は呼吸をするのさえ忘れていた。	To borrow a phrase from the writers of the chronicles of old, he felt as if "the hairs on his head and body had grown thick".	rashomon_jp-rashomon_en
旧記の記者の語を借りれば、「頭身の毛も太る」ように感じたのである。	The old woman thrust the handle of the pine torch into the space between the floorboards.	rashomon_jp-rashomon_en
すると老婆は、松の木片を、床板の間に挿して、それから、今まで眺めていた死骸の首に両手をかけると、丁度、猿の親が猿の子の虱をとるように、その長い髪の毛を一本ずつ抜きはじめた。	She placed both hands on the corpse's head, and like a monkey picking the lice off its child, she began to pull out strands of the corpse's long hair, one-by-one.	rashomon_jp-rashomon_en
髪は手に従って抜けるらしい。	The hairs seemed to be coming out with very little effort.	rashomon_jp-rashomon_en
その髪の毛が、一本ずつ抜けるのに従って、下人の心からは、恐怖が少しずつ消えて行った。	Each time she plucked one of those hairs, the servant grew a little bit less frightened.	rashomon_jp-rashomon_en
そうして、それと同時に、この老婆に対するはげしい憎悪が、少しずつ動いて来た。	And each time she plucked one of those hairs, the intense hatred that he now felt for this woman grew a little bit stronger.	rashomon_jp-rashomon_en
――いや、この老婆に対すると云っては、語弊があるかも知れない。	No—it is probably misleading to say that he hated her, per se.	rashomon_jp-rashomon_en
むしろ、あらゆる悪に対する反感が、一分毎に強さを増して来たのである。	Rather, it was a revulsion against all forms of evil, which was growing stronger by the minute.	rashomon_jp-rashomon_en
この時、誰かがこの下人に、さっき門の下でこの男が考えていた、饑死をするか盗人になるかと云う問題を、改めて持出したら、恐らく下人は、何の未練もなく、饑死を選んだ事であろう。	At that moment, if someone again raised the question that the servant had been thinking about under the gate—whether he would starve to death or become a criminal—the servant would almost certainly have chosen starvation, without an ounce of regret.	rashomon_jp-rashomon_en
それほど、この男の悪を憎む心は、老婆の床に挿した松の木片のように、勢いよく燃え上り出していたのである。	Like the torch the old woman had jammed between the floorboards, this was how ardently the man's heart burned against all that was evil.	rashomon_jp-rashomon_en
下人には、勿論、何故老婆が死人の髪の毛を抜くかわからなかった。	The servant, of course, didn't know why the old woman was pulling out the corpse's hair, so, rationally, he had no way of knowing if it was immoral or not.	rashomon_jp-rashomon_en
従って、合理的には、それを善悪のいずれに片づけてよいか知らなかった。	But for this servant, on this rainy night, on top of this gate, pulling out a dead woman's hair was an unforgivable sin.	rashomon_jp-rashomon_en
しかし下人にとっては、この雨の夜に、この羅生門の上で、死人の髪の毛を抜くと云う事が、それだけで既に許すべからざる悪であった。		rashomon_jp-rashomon_en
勿論、下人は、さっきまで自分が、盗人になる気でいた事なぞは、とうに忘れていたのである。	Of course, the servant had already forgotten that until very recently, he was considering becoming a robber himself.	rashomon_jp-rashomon_en
そこで、下人は、両足に力を入れて、いきなり、梯子から上へ飛び上った。	The servant strained his legs, and, suddenly, leapt up from the stairs without warning.	rashomon_jp-rashomon_en
そうして聖柄の太刀に手をかけながら、大股に老婆の前へ歩みよった。	He strode over to the woman, his hand on the wooden hilt of his sword.	rashomon_jp-rashomon_en
老婆が驚いたのは云うまでもない。	Needless to say, the woman was scared out of her wits.	rashomon_jp-rashomon_en
老婆は、一目下人を見ると、まるで弩にでも弾かれたように、飛び上った。	As soon as the old woman saw the servant, she sprung up as if she had been fired from a crossbow.	rashomon_jp-rashomon_en
「おのれ、どこへ行く。	 "You! Where are you going?"	rashomon_jp-rashomon_en
」 下人は、老婆が死骸につまずきながら、慌てふためいて逃げようとする行手を塞いで、こう罵った。	The servant shouted. He stood firmly in the old woman's way, as she tripped over corpses in a frenzied attempt to escape.	rashomon_jp-rashomon_en
老婆は、それでも下人をつきのけて行こうとする。	The old woman tried to shove him aside.	rashomon_jp-rashomon_en
下人はまた、それを行かすまいとして、押しもどす。	But the servant still had no intention of letting her go, and he pushed her back.	rashomon_jp-rashomon_en
二人は死骸の中で、しばらく、無言のまま、つかみ合った。	For a while, the two grappled among the corpses without saying a word.	rashomon_jp-rashomon_en
しかし勝敗は、はじめからわかっている。	But the outcome of this battle was clear from the beginning.	rashomon_jp-rashomon_en
下人はとうとう、老婆の腕をつかんで、無理にそこへ扭じ倒した。	In the end, the servant grabbed the old woman's arm and wrenched her down to the floor.	rashomon_jp-rashomon_en
丁度、鶏の脚のような、骨と皮ばかりの腕である。	Her arm, like a chicken leg, was merely skin and bones. "What were you doing?	rashomon_jp-rashomon_en
「何をしていた。	Well, what were you doing?	rashomon_jp-rashomon_en
云え。	SPEAK!	rashomon_jp-rashomon_en
云わぬと、これだぞよ。	If you don't tell me, you'll get THIS!"	rashomon_jp-rashomon_en
」 下人は、老婆をつき放すと、いきなり、太刀の鞘を払って、白い鋼の色をその眼の前へつきつけた。	The servant pushed the old woman away from him, and, suddenly, he drew his sword and thrust the pale white steel before her eyes.	rashomon_jp-rashomon_en
けれども、老婆は黙っている。	But the old woman said nothing.	rashomon_jp-rashomon_en
両手をわなわなふるわせて、肩で息を切りながら、眼を、眼球が眶の外へ出そうになるほど、見開いて、唖のように執拗く黙っている。	Her hands shook uncontrollably, her shoulders heaved as she panted.	rashomon_jp-rashomon_en
これを見ると、下人は始めて明白にこの老婆の生死が、全然、自分の意志に支配されていると云う事を意識した。	Her eyes were open so wide that they looked like they were going to pop right out their sockets, but still, like a mute, she remained obstinately silent.	rashomon_jp-rashomon_en
そうしてこの意識は、今までけわしく燃えていた憎悪の心を、いつの間にか冷ましてしまった。	Seeing this, the servant then realized that he held this woman's life in the palm of his hand.	rashomon_jp-rashomon_en
後に残ったのは、ただ、ある仕事をして、それが円満に成就した時の、安らかな得意と満足とがあるばかりである。	When he realized this, his heart, which had been burning so fiercely with hatred, cooled down, until all that remained were the feelings of pride and satisfaction that come with a job well done.	rashomon_jp-rashomon_en
そこで、下人は、老婆を見下しながら、少し声を柔らげてこう云った。	The servant looked down at the woman, lowered his voice and said:	rashomon_jp-rashomon_en
「己は検非違使の庁の役人などではない。	 "I'm not an official from the police department or anything.	rashomon_jp-rashomon_en
今し方この門の下を通りかかった旅の者だ。	I'm just a traveller who happened to be passing under the gate a moment ago.	rashomon_jp-rashomon_en
だからお前に縄をかけて、どうしようと云うような事はない。	So I'm not going to tie you up or anything like that.	rashomon_jp-rashomon_en
ただ、今時分この門の上で、何をして居たのだか、それを己に話しさえすればいいのだ。	But it would be best if you told me what you were doing on top of this gate just now."	rashomon_jp-rashomon_en
」 すると、老婆は、見開いていた眼を、一層大きくして、じっとその下人の顔を見守った。	The bug-eyed old woman opened her eyes even wider, and stared at the servant's face.	rashomon_jp-rashomon_en
眶の赤くなった、肉食鳥のような、鋭い眼で見たのである。	She looked at him with the piercing red eyes of a bird of prey.	rashomon_jp-rashomon_en
それから、皺で、ほとんど、鼻と一つになった唇を、何か物でも噛んでいるように動かした。	And then, her lips—so wrinkled that they were almost a part of her nose—moved, as if she were chewing something.	rashomon_jp-rashomon_en
細い喉で、尖った喉仏の動いているのが見える。	You could see her pointed Adam's apple moving in her gaunt throat.	rashomon_jp-rashomon_en
その時、その喉から、鴉の啼くような声が、喘ぎ喘ぎ、下人の耳へ伝わって来た。	Then, from that throat, came a pant-broken voice that sounded like the cawing of a crow.	rashomon_jp-rashomon_en
「この髪を抜いてな、この髪を抜いてな、鬘にしようと思うたのじゃ。	 "I'm taking this hair… I'm taking this woman's hair to… Well, I thought I'd make a wig."	rashomon_jp-rashomon_en
」 下人は、老婆の答が存外、平凡なのに失望した。	The servant was disappointed that the old woman's answer was so unexpectedly dull.	rashomon_jp-rashomon_en
そうして失望すると同時に、また前の憎悪が、冷やかな侮蔑と一しょに、心の中へはいって来た。	Along with the disappointment, those old feelings of hatred and contempt came flooding back to him.	rashomon_jp-rashomon_en
すると、その気色が、先方へも通じたのであろう。	And somehow, he must have conveyed these feelings to the old woman.	rashomon_jp-rashomon_en
老婆は、片手に、まだ死骸の頭から奪った長い抜け毛を持ったなり、蟇のつぶやくような声で、口ごもりながら、こんな事を云った。	With the hairs she had stolen from the corpse still clutched in one hand, she mumbled in a raspy, toadish voice:	rashomon_jp-rashomon_en
「成程な、死人の髪の毛を抜くと云う事は、何ぼう悪い事かも知れぬ。	 "I see. Well, perhaps it is immoral to pull out the hairs of the dead.	rashomon_jp-rashomon_en
じゃが、ここにいる死人どもは、皆、そのくらいな事を、されてもいい人間ばかりだぞよ。	But these corpses up here—all of them—they were just the sort of people who wouldn't have minded.	rashomon_jp-rashomon_en
現在、わしが今、髪を抜いた女などはな、蛇を四寸ばかりずつに切って干したのを、干魚だと云うて、太刀帯の陣へ売りに往んだわ。	In fact, this woman whose hair I was just pulling out a moment ago—she used to cut snakes into 5-inch pieces, dry them, and go sell them at the camp of the crown prince's palace guard, saying it was dried fish.	rashomon_jp-rashomon_en
疫病にかかって死ななんだら、今でも売りに往んでいた事であろ。	If she hadn't died in the plague, she would probably still be going there now.	rashomon_jp-rashomon_en
それもよ、この女の売る干魚は、味がよいと云うて、太刀帯どもが、欠かさず菜料に買っていたそうな。	And yet, the guards said this woman's dried fish tasted good, and they always bought it to go with their rice.	rashomon_jp-rashomon_en
わしは、この女のした事が悪いとは思うていぬ。	I don't think what she did was immoral.	rashomon_jp-rashomon_en
せねば、饑死をするのじゃて、仕方がなくした事であろ。	If she hadn't done it, she would have starved to death, so, she just did what she had to.	rashomon_jp-rashomon_en
されば、今また、わしのしていた事も悪い事とは思わぬぞよ。	And this woman, who understood so well these things we have to do, would probably forgive me for what I'm doing to her too."	rashomon_jp-rashomon_en
これとてもやはりせねば、饑死をするじゃて、仕方がなくする事じゃわいの。	The old woman said something along those lines.	rashomon_jp-rashomon_en
じゃて、その仕方がない事を、よく知っていたこの女は、大方わしのする事も大目に見てくれるであろ。	The servant put his sword back in its scabbard and rested his hand on its hilt while he listened to her story unsympathetically.	rashomon_jp-rashomon_en
」 老婆は、大体こんな意味の事を云った。	Sure enough, while he listened, his right hand nursed the red pus-filled pimple on his cheek.	rashomon_jp-rashomon_en
下人は、太刀を鞘におさめて、その太刀の柄を左の手でおさえながら、冷然として、この話を聞いていた。	As he was listening to her story, he felt the courage that he had lacked under the gate a few moments earlier building up inside him.	rashomon_jp-rashomon_en
勿論、右の手では、赤く頬に膿を持った大きな面皰を気にしながら、聞いているのである。	It was leading him in the completely opposite direction of the courage he had when he climbed up the gate and grabbed the old woman.	rashomon_jp-rashomon_en
しかし、これを聞いている中に、下人の心には、ある勇気が生まれて来た。	The servant was no longer debating whether to starve to death or become a thief.	rashomon_jp-rashomon_en
それは、さっき門の下で、この男には欠けていた勇気である。	The way he felt now, the idea of starving to death was virtually unthinkable.	rashomon_jp-rashomon_en
そうして、またさっきこの門の上へ上って、この老婆を捕えた時の勇気とは、全然、反対な方向に動こうとする勇気である。		rashomon_jp-rashomon_en
下人は、饑死をするか盗人になるかに、迷わなかったばかりではない。	 "That's definitely true," the servant agreed derisively when she had finished speaking.	rashomon_jp-rashomon_en
その時のこの男の心もちから云えば、饑死などと云う事は、ほとんど、考える事さえ出来ないほど、意識の外に追い出されていた。		rashomon_jp-rashomon_en
「きっと、そうか。 」	He took a step forward and suddenly tore his right hand away from the pimple.	rashomon_jp-rashomon_en
老婆の話が完ると、下人は嘲るような声で念を押した。	Grabbing the woman by the scruff of the neck, he said to her in a biting tone:	rashomon_jp-rashomon_en
そうして、一足前へ出ると、不意に右の手を面皰から離して、老婆の襟上をつかみながら、噛みつくようにこう云った。		rashomon_jp-rashomon_en
「では、己が引剥をしようと恨むまいな。	 "Well then, you won't hold it against me if I try to steal your clothes.	rashomon_jp-rashomon_en
己もそうしなければ、饑死をする体なのだ。	If I don't, you see, I too will starve."	rashomon_jp-rashomon_en
」 下人は、すばやく、老婆の着物を剥ぎとった。	The servant deftly stripped the woman of her kimono.	rashomon_jp-rashomon_en
それから、足にしがみつこうとする老婆を、手荒く死骸の上へ蹴倒した。	She tried to cling to his leg, but he kicked her violently onto the corpses.	rashomon_jp-rashomon_en
梯子の口までは、僅に五歩を数えるばかりである。	The entrance to the stairwell was a mere five paces away.	rashomon_jp-rashomon_en
下人は、剥ぎとった檜皮色の着物をわきにかかえて、またたく間に急な梯子を夜の底へかけ下りた。	In the blink of an eye, the servant ran down the steep staircase and into the darkness, carrying the dusky-red kimono under his arm.	rashomon_jp-rashomon_en
しばらく、死んだように倒れていた老婆が、死骸の中から、その裸の体を起したのは、それから間もなくの事である。	For a while, the old woman lay there as if she were dead, but it was only a short time before she lifted her naked body off the corpses.	rashomon_jp-rashomon_en
老婆はつぶやくような、うめくような声を立てながら、まだ燃えている火の光をたよりに、梯子の口まで、這って行った。	Whimpering, she crawled over to the stairs, by the light of her still-lit torch.	rashomon_jp-rashomon_en
そうして、そこから、短い白髪を倒にして、門の下を覗きこんだ。	She stuck her head into the stairwell door, and looked down to the bottom of the gate, her short white hair hanging upside down.	rashomon_jp-rashomon_en
外には、ただ、黒洞々たる夜があるばかりである。	But outside, there was only the pitch-black darkness of night.	rashomon_jp-rashomon_en
下人の行方は、誰も知らない。	Where the servant went to, nobody knows.	rashomon_jp-rashomon_en
